miRNA_ID	Patient1
hsa-mir-3173	1.126738333
hsa-mir-3174	0
hsa-mir-3175	0
hsa-mir-3176	0
hsa-mir-3177	0
hsa-mir-3178	1.571793774
hsa-mir-3179-1	0
hsa-mir-3179-2	0
hsa-mir-3179-3	0
hsa-mir-3179-4	0
hsa-mir-3180-1	0
hsa-mir-3180-2	0
hsa-mir-3180-3	0
hsa-mir-3180-4	0
hsa-mir-3180-5	0
hsa-mir-3181	0
hsa-mir-3182	0
hsa-mir-3183	0
hsa-mir-3184	0
hsa-mir-3185	0
hsa-mir-3186	0
hsa-mir-3187	0
hsa-mir-3188	0.839231609
hsa-mir-3189	0
hsa-mir-3190	0
hsa-mir-3191	0
hsa-mir-3192	0
hsa-mir-3193	0
hsa-mir-3194	0
hsa-mir-3195	0.479797592
hsa-mir-3196	0
hsa-mir-3197	0.479797592
hsa-mir-3198-1	0
hsa-mir-3198-2	0
hsa-mir-3199-1	0.479797592
hsa-mir-3199-2	1.126738333
hsa-mir-32	5.522887652
hsa-mir-3200	0.479797592
hsa-mir-3201	0
hsa-mir-3202-1	0
hsa-mir-3202-2	0
hsa-mir-320a	7.985903997
hsa-mir-320b-1	0.479797592
hsa-mir-320b-2	0.839231609
hsa-mir-320c-1	1.126738333
hsa-mir-320c-2	0
hsa-mir-320d-1	0.479797592
hsa-mir-320d-2	0.839231609
hsa-mir-320e	0
hsa-mir-323a	0.479797592
hsa-mir-323b	0
hsa-mir-324	4.400672015
hsa-mir-325	0
hsa-mir-326	3.926354164
hsa-mir-328	4.135126694
hsa-mir-329-1	0
hsa-mir-329-2	0
hsa-mir-330	5.751395993
hsa-mir-331	4.229178204
hsa-mir-335	8.715635441
hsa-mir-337	2.615681834
hsa-mir-338	8.387103374
hsa-mir-339	4.167163286
hsa-mir-33a	4.288636885
hsa-mir-33b	0.839231609
hsa-mir-340	4.6702735
hsa-mir-342	5.86318277
hsa-mir-345	2.519687576
hsa-mir-346	0.479797592
hsa-mir-34a	6.269553485
hsa-mir-34b	1.366360266
hsa-mir-34c	4.259213799
hsa-mir-3529	0
hsa-mir-3591	0
hsa-mir-3605	2.055329642
hsa-mir-3606	0
hsa-mir-3607	2.306111429
hsa-mir-3609	0
hsa-mir-361	8.357906178
hsa-mir-3610	0.839231609
hsa-mir-3611	0
hsa-mir-3612	0
hsa-mir-3613	2.186162981
hsa-mir-3614	1.126738333
hsa-mir-3615	2.416848117
hsa-mir-3616	0
hsa-mir-3617	0
hsa-mir-3618	0.479797592
hsa-mir-3619	0.479797592
hsa-mir-362	3.999353798
hsa-mir-3620	0
hsa-mir-3621	0
hsa-mir-3622a	0
hsa-mir-3622b	0
hsa-mir-363	2.416848117
hsa-mir-3646	0
hsa-mir-3648-1	0
hsa-mir-3648-2	0
hsa-mir-3649	0
hsa-mir-3650	0
hsa-mir-3651	0.479797592
hsa-mir-3652	0.479797592
hsa-mir-3653	2.055329642
hsa-mir-3654	0
hsa-mir-3655	0.479797592
hsa-mir-3656	0
hsa-mir-3657	0
hsa-mir-3658	0
hsa-mir-3659	0
hsa-mir-365a	4.102362508
hsa-mir-365b	4.102362508
hsa-mir-3660	0
hsa-mir-3661	0
hsa-mir-3662	0
hsa-mir-3663	0
hsa-mir-3664	0.479797592
hsa-mir-3665	0
hsa-mir-3666	0
hsa-mir-3667	0
hsa-mir-3668	0
hsa-mir-367	0
hsa-mir-3670-1	0
hsa-mir-3670-2	0
hsa-mir-3670-3	0
hsa-mir-3670-4	0
hsa-mir-3671	0
hsa-mir-3672	0
hsa-mir-3674	0
hsa-mir-3675	0
hsa-mir-3677	2.055329642
hsa-mir-3678	1.126738333
hsa-mir-3679	0.479797592
hsa-mir-3680-1	0.479797592
hsa-mir-3680-2	0
hsa-mir-3681	0
hsa-mir-3682	0
hsa-mir-3683	0
hsa-mir-3684	0.479797592
hsa-mir-3685	0
hsa-mir-3686	0
hsa-mir-3687-1	0
hsa-mir-3687-2	0
hsa-mir-3688-1	0
hsa-mir-3688-2	0
hsa-mir-3689a	0
hsa-mir-3689b	0
hsa-mir-3689c	0
hsa-mir-3689d-1	0
hsa-mir-3689d-2	0
hsa-mir-3689e	0
hsa-mir-3689f	0
hsa-mir-369	1.126738333
hsa-mir-3690-1	1.366360266
hsa-mir-3690-2	0
hsa-mir-3691	0
hsa-mir-3692	0
hsa-mir-370	1.366360266
hsa-mir-3713	0
hsa-mir-3714	0
hsa-mir-371a	0
hsa-mir-371b	0
hsa-mir-372	0
hsa-mir-373	0
hsa-mir-374a	9.236207232
hsa-mir-374b	4.288636885
hsa-mir-374c	0
hsa-mir-375	15.91883994
hsa-mir-376a-1	0
hsa-mir-376a-2	0
hsa-mir-376b	0
hsa-mir-376c	1.366360266
hsa-mir-377	0.479797592
hsa-mir-378a	8.405685601
hsa-mir-378b	0
hsa-mir-378c	2.416848117
hsa-mir-378d-1	0
hsa-mir-378d-2	0
hsa-mir-378e	0
hsa-mir-378f	0
hsa-mir-378g	0
hsa-mir-378h	0
hsa-mir-378i	0
hsa-mir-378j	0
hsa-mir-379	8.096097723
hsa-mir-380	0
hsa-mir-381	3.725849873
hsa-mir-382	2.790401726
hsa-mir-383	0
hsa-mir-384	0
hsa-mir-3907	0
hsa-mir-3908	0
hsa-mir-3909	1.571793774
hsa-mir-3910-1	0
hsa-mir-3910-2	0
hsa-mir-3911	0.479797592
hsa-mir-3912	1.126738333
hsa-mir-3913-1	2.306111429
hsa-mir-3913-2	2.416848117
hsa-mir-3914-1	0
hsa-mir-3914-2	0
hsa-mir-3915	0
hsa-mir-3916	0
hsa-mir-3917	1.571793774
hsa-mir-3918	0
hsa-mir-3919	0
hsa-mir-3920	0.479797592
hsa-mir-3921	0
hsa-mir-3922	0.479797592
hsa-mir-3923	0
hsa-mir-3924	0
hsa-mir-3925	0
hsa-mir-3926-1	0.479797592
hsa-mir-3926-2	0
hsa-mir-3927	0
hsa-mir-3928	0.839231609
hsa-mir-3929	0
hsa-mir-3934	3.590644173
hsa-mir-3935	0
hsa-mir-3936	0
hsa-mir-3937	0
hsa-mir-3938	0
hsa-mir-3939	0
hsa-mir-3940	1.571793774
hsa-mir-3941	0.479797592
hsa-mir-3942	0.479797592
hsa-mir-3943	0
hsa-mir-3944	0
hsa-mir-3945	0
hsa-mir-3960	0
hsa-mir-3972	0
hsa-mir-3973	0
hsa-mir-3974	0
hsa-mir-3975	0
hsa-mir-3976	0
hsa-mir-3977	0
hsa-mir-3978	0
hsa-mir-409	2.306111429
hsa-mir-410	3.275016288
hsa-mir-411	1.751587975
hsa-mir-412	0.479797592
hsa-mir-421	2.416848117
hsa-mir-422a	0
hsa-mir-423	6.941522118
hsa-mir-424	4.601598412
hsa-mir-425	5.686561623
hsa-mir-4251	0
hsa-mir-4252	0
hsa-mir-4253	0
hsa-mir-4254	0
hsa-mir-4255	0
hsa-mir-4256	0
hsa-mir-4257	0
hsa-mir-4258	0
hsa-mir-4259	0
hsa-mir-4260	0
hsa-mir-4261	0
hsa-mir-4262	0
hsa-mir-4263	0
hsa-mir-4264	0
hsa-mir-4265	0
hsa-mir-4266	0
hsa-mir-4267	0
hsa-mir-4268	0
hsa-mir-4269	0
hsa-mir-4270	0
hsa-mir-4271	0
hsa-mir-4272	0
hsa-mir-4273	0
hsa-mir-4274	0
hsa-mir-4275	0
hsa-mir-4276	0
hsa-mir-4277	0
hsa-mir-4278	0
hsa-mir-4279	0
hsa-mir-4280	0
hsa-mir-4281	0
hsa-mir-4282	0
hsa-mir-4283-1	0
hsa-mir-4283-2	0
hsa-mir-4284	0
hsa-mir-4285	0
hsa-mir-4286	0
hsa-mir-4287	0
hsa-mir-4288	0
hsa-mir-4289	0
hsa-mir-429	5.843491601
hsa-mir-4290	0
hsa-mir-4291	0
hsa-mir-4292	0
hsa-mir-4293	0
hsa-mir-4294	0
hsa-mir-4295	0
hsa-mir-4296	0
hsa-mir-4297	0
hsa-mir-4298	0
hsa-mir-4299	0
hsa-mir-4300	0
hsa-mir-4301	0
hsa-mir-4302	0
hsa-mir-4303	0
hsa-mir-4304	0
hsa-mir-4305	0
hsa-mir-4306	0
hsa-mir-4307	0
hsa-mir-4308	0
hsa-mir-4309	0
hsa-mir-431	1.911437722
hsa-mir-4310	0
hsa-mir-4311	0
hsa-mir-4312	0
hsa-mir-4313	0
hsa-mir-4314	0
hsa-mir-4315-1	0
hsa-mir-4315-2	0
hsa-mir-4316	0
hsa-mir-4317	0
hsa-mir-4318	0
hsa-mir-4319	0
hsa-mir-432	0.479797592
hsa-mir-4320	0
hsa-mir-4321	0
hsa-mir-4322	0
hsa-mir-4323	0
hsa-mir-4324	0
hsa-mir-4325	0
hsa-mir-4326	0
hsa-mir-4327	0
hsa-mir-4328	0
hsa-mir-4329	0
hsa-mir-433	0.839231609
hsa-mir-4330	0
hsa-mir-4417	0
hsa-mir-4418	0
hsa-mir-4419a	0
hsa-mir-4419b	0
hsa-mir-4420	0
hsa-mir-4421	0
hsa-mir-4422	0
hsa-mir-4423	0
hsa-mir-4424	0
hsa-mir-4425	0
hsa-mir-4426	0
hsa-mir-4427	0
hsa-mir-4428	0
hsa-mir-4429	0
hsa-mir-4430	0
hsa-mir-4431	0
hsa-mir-4432	0
hsa-mir-4433a	0
hsa-mir-4433b	0
hsa-mir-4434	0
hsa-mir-4435-1	0
hsa-mir-4435-2	0.479797592
hsa-mir-4436a	0
hsa-mir-4436b-1	0
hsa-mir-4436b-2	0
hsa-mir-4437	0
hsa-mir-4438	0
hsa-mir-4439	0
hsa-mir-4440	0
hsa-mir-4441	0
hsa-mir-4442	0.479797592
hsa-mir-4443	1.751587975
hsa-mir-4444-1	0.479797592
hsa-mir-4444-2	1.126738333
hsa-mir-4445	0
hsa-mir-4446	0
hsa-mir-4447	0
hsa-mir-4448	0
hsa-mir-4449	1.366360266
hsa-mir-4450	0
hsa-mir-4451	0
hsa-mir-4452	0
hsa-mir-4453	0
hsa-mir-4454	0.479797592
hsa-mir-4455	0
hsa-mir-4456	0
hsa-mir-4457	0
hsa-mir-4458	0
hsa-mir-4459	0
hsa-mir-4460	0
hsa-mir-4461	0.479797592
hsa-mir-4462	0
hsa-mir-4463	0
hsa-mir-4464	0
hsa-mir-4465	0
hsa-mir-4466	0
hsa-mir-4467	0
hsa-mir-4468	0
hsa-mir-4469	0
hsa-mir-4470	0
hsa-mir-4471	0
hsa-mir-4472-1	0
hsa-mir-4472-2	0
hsa-mir-4473	0.479797592
hsa-mir-4474	0
hsa-mir-4475	0
hsa-mir-4476	0
hsa-mir-4477a	0
hsa-mir-4477b	0
hsa-mir-4478	0
hsa-mir-4479	0
hsa-mir-448	0
hsa-mir-4480	0
hsa-mir-4481	0
hsa-mir-4482	0
hsa-mir-4483	0
hsa-mir-4484	0
hsa-mir-4485	0
hsa-mir-4486	0
hsa-mir-4487	0
hsa-mir-4488	0
hsa-mir-4489	0
hsa-mir-4490	0
hsa-mir-4491	0.479797592
hsa-mir-4492	0.839231609
hsa-mir-4493	0
hsa-mir-4494	0
hsa-mir-4495	0
hsa-mir-4496	0
hsa-mir-4497	0
hsa-mir-4498	0
hsa-mir-4499	0
hsa-mir-449a	0
hsa-mir-449b	0
hsa-mir-449c	0
hsa-mir-4500	0
hsa-mir-4501	0
hsa-mir-4502	0
hsa-mir-4503	0
hsa-mir-4504	0
hsa-mir-4505	0
hsa-mir-4506	0
hsa-mir-4507	0
hsa-mir-4508	0
hsa-mir-4509-1	0
hsa-mir-4509-2	0
hsa-mir-4509-3	0
hsa-mir-450a-1	0.839231609
hsa-mir-450a-2	0.839231609
hsa-mir-450b	2.946229479
hsa-mir-4510	0
hsa-mir-4511	0
hsa-mir-4512	0
hsa-mir-4513	0
hsa-mir-4514	0
hsa-mir-4515	0
hsa-mir-4516	0
hsa-mir-4517	0
hsa-mir-4518	0
hsa-mir-4519	0
hsa-mir-451a	6.678056548
hsa-mir-451b	0
hsa-mir-452	4.647743109
hsa-mir-4520-1	0
hsa-mir-4520-2	0
hsa-mir-4521	0.839231609
hsa-mir-4522	0
hsa-mir-4523	0
hsa-mir-4524a	0
hsa-mir-4524b	0
hsa-mir-4525	0
hsa-mir-4526	0
hsa-mir-4527	0
hsa-mir-4528	0
hsa-mir-4529	0.479797592
hsa-mir-4530	0
hsa-mir-4531	0
hsa-mir-4532	0
hsa-mir-4533	0
hsa-mir-4534	0
hsa-mir-4535	0
hsa-mir-4536-1	0
hsa-mir-4536-2	0
hsa-mir-4537	0
hsa-mir-4538	0
hsa-mir-4539	0
hsa-mir-454	1.571793774
hsa-mir-4540	0
hsa-mir-455	7.856803655
hsa-mir-4632	0
hsa-mir-4633	0
hsa-mir-4634	0
hsa-mir-4635	0
hsa-mir-4636	0.479797592
hsa-mir-4637	0
hsa-mir-4638	0
hsa-mir-4639	0
hsa-mir-4640	0
hsa-mir-4641	0
hsa-mir-4642	0
hsa-mir-4643	0
hsa-mir-4644	0
hsa-mir-4645	0.479797592
hsa-mir-4646	0
hsa-mir-4647	0
hsa-mir-4648	0
hsa-mir-4649	0
hsa-mir-4650-1	0
hsa-mir-4650-2	0
hsa-mir-4651	0
hsa-mir-4652	0
hsa-mir-4653	0
hsa-mir-4654	0
hsa-mir-4655	0
hsa-mir-4656	0
hsa-mir-4657	0
hsa-mir-4658	0.479797592
hsa-mir-4659a	0
hsa-mir-4659b	0
hsa-mir-466	0
hsa-mir-4660	0.479797592
hsa-mir-4661	2.519687576
hsa-mir-4662a	4.601598412
hsa-mir-4662b	0
hsa-mir-4663	0
hsa-mir-4664	0.839231609
hsa-mir-4665	0
hsa-mir-4666a	0
hsa-mir-4666b	0
hsa-mir-4667	0
hsa-mir-4668	1.571793774
hsa-mir-4669	0
hsa-mir-4670	0
hsa-mir-4671	0
hsa-mir-4672	0
hsa-mir-4673	0
hsa-mir-4674	0
hsa-mir-4675	0
hsa-mir-4676	0.479797592
hsa-mir-4677	3.388073648
hsa-mir-4678	0
hsa-mir-4679-1	0
hsa-mir-4679-2	0
hsa-mir-4680	0
hsa-mir-4681	0
hsa-mir-4682	0
hsa-mir-4683	0.479797592
hsa-mir-4684	0
hsa-mir-4685	0
hsa-mir-4686	0
hsa-mir-4687	0
hsa-mir-4688	0
hsa-mir-4689	0
hsa-mir-4690	0
hsa-mir-4691	0
hsa-mir-4692	0
hsa-mir-4693	0
hsa-mir-4694	0
hsa-mir-4695	0
hsa-mir-4696	0
hsa-mir-4697	0
hsa-mir-4698	0
hsa-mir-4699	0
hsa-mir-4700	0.479797592
hsa-mir-4701	0
hsa-mir-4703	0
hsa-mir-4704	0
hsa-mir-4705	0
hsa-mir-4706	0
hsa-mir-4707	0.479797592
hsa-mir-4708	0
hsa-mir-4709	3.152340176
hsa-mir-4710	0
hsa-mir-4711	0
hsa-mir-4712	0
hsa-mir-4713	0
hsa-mir-4714	0
hsa-mir-4715	0
hsa-mir-4716	0.479797592
hsa-mir-4717	0
hsa-mir-4718	0
hsa-mir-4719	0
hsa-mir-4720	0
hsa-mir-4721	0
hsa-mir-4722	0.479797592
hsa-mir-4723	0
hsa-mir-4724	0
hsa-mir-4725	0
hsa-mir-4726	0.479797592
hsa-mir-4727	0
hsa-mir-4728	0.479797592
hsa-mir-4729	0
hsa-mir-4730	0
hsa-mir-4731	0
hsa-mir-4732	0
hsa-mir-4733	0
hsa-mir-4734	0
hsa-mir-4735	0
hsa-mir-4736	0
hsa-mir-4737	0
hsa-mir-4738	0
hsa-mir-4739	0
hsa-mir-4740	0
hsa-mir-4741	0.479797592
hsa-mir-4742	1.571793774
hsa-mir-4743	0
hsa-mir-4744	0
hsa-mir-4745	0
hsa-mir-4746	2.615681834
hsa-mir-4747	0
hsa-mir-4748	0
hsa-mir-4749	0
hsa-mir-4750	0
hsa-mir-4751	0
