project_id,merged_project,modality,model,mean_c_index,std_c_index,c_indices
TCGA-ACC,TCGA-ACC,kronecker,rsf,0.6690936315567826,0.10270867201227997,"[0.7790697674418605, 0.5, 0.7142857142857143, 0.6056338028169014, 0.7464788732394366]"
TCGA-ACC,TCGA-ACC,kronecker,deepsurv,0.7517822498497245,0.09987601941332928,"[0.8023255813953488, 0.6410256410256411, 0.7380952380952381, 0.6619718309859155, 0.9154929577464789]"
TCGA-COAD,TCGA-COAD,clinical,cox,0.9114081616281309,0.01796427263083448,"[0.9175257731958762, 0.9073684210526316, 0.938090241343127, 0.9117647058823529, 0.8822916666666667]"
TCGA-COAD,TCGA-COAD,clinical,rsf,0.7297657796517834,0.06993431252770428,"[0.7826460481099656, 0.8063157894736842, 0.7565582371458552, 0.6137254901960785, 0.6895833333333333]"
TCGA-COAD,TCGA-COAD,clinical,deepsurv,0.8961645535080869,0.042102043853754455,"[0.9261168384879725, 0.8178947368421052, 0.9307450157397692, 0.9196078431372549, 0.8864583333333333]"
TCGA-COAD,TCGA-COAD,pathology,cox,0.46348448884569543,0.06134733274767725,"[0.43986254295532645, 0.3726315789473684, 0.5582371458551941, 0.45294117647058824, 0.49375]"
TCGA-COAD,TCGA-COAD,pathology,rsf,0.49059556850050756,0.056384181687695385,"[0.5051546391752577, 0.4105263157894737, 0.5183630640083945, 0.4470588235294118, 0.571875]"
TCGA-COAD,TCGA-COAD,pathology,deepsurv,0.4730408157850584,0.03822227473573581,"[0.48281786941580757, 0.4263157894736842, 0.4459601259181532, 0.4715686274509804, 0.5385416666666667]"
TCGA-COAD,TCGA-COAD,radiology,cox,0.5955701816017054,0.03601675394080028,"[0.5674398625429553, 0.6021052631578947, 0.5970619097586569, 0.5534313725490196, 0.6578125]"
TCGA-COAD,TCGA-COAD,radiology,rsf,0.5230003156065718,0.02863374488503485,"[0.5356529209621993, 0.5568421052631579, 0.5445960125918153, 0.48676470588235293, 0.49114583333333334]"
TCGA-COAD,TCGA-COAD,radiology,deepsurv,0.5262722733740951,0.053514147864970225,"[0.4798109965635739, 0.5242105263157895, 0.5099685204616999, 0.4887254901960784, 0.6286458333333333]"
TCGA-COAD,TCGA-COAD,molecular,cox,0.5238248938939147,0.06147627547385454,"[0.520618556701031, 0.5863157894736842, 0.45750262329485836, 0.6, 0.4546875]"
TCGA-COAD,TCGA-COAD,molecular,rsf,0.44862109840185455,0.0723742391828981,"[0.5292096219931272, 0.3831578947368421, 0.34994753410283314, 0.4573529411764706, 0.5234375]"
TCGA-COAD,TCGA-COAD,molecular,deepsurv,0.5133476739302572,0.02034032740556068,"[0.49742268041237114, 0.5326315789473685, 0.5225603357817419, 0.5323529411764706, 0.4817708333333333]"
TCGA-COAD,TCGA-COAD,wsi,cox,0.4881527026250164,0.09701235649101785,"[0.6365979381443299, 0.4863157894736842, 0.5320041972717734, 0.3431372549019608, 0.4427083333333333]"
TCGA-COAD,TCGA-COAD,wsi,rsf,0.45691851986248355,0.06552892337912387,"[0.47766323024054985, 0.52, 0.5015739769150053, 0.33431372549019606, 0.4510416666666667]"
TCGA-COAD,TCGA-COAD,wsi,deepsurv,0.49537717324069225,0.1039225331410878,"[0.6288659793814433, 0.4536842105263158, 0.534102833158447, 0.3196078431372549, 0.540625]"
TCGA-COAD,TCGA-COAD,concat,cox,0.5862012664656248,0.0440672820833332,"[0.5936426116838488, 0.5557894736842105, 0.6663168940188877, 0.5392156862745098, 0.5760416666666667]"
TCGA-COAD,TCGA-COAD,concat,rsf,0.6404743284643699,0.09136915284247327,"[0.7714776632302406, 0.6663157894736842, 0.6715634837355718, 0.4950980392156863, 0.5979166666666667]"
TCGA-COAD,TCGA-COAD,concat,deepsurv,0.7948282253015784,0.05682676743440195,"[0.8487972508591065, 0.7652631578947369, 0.8614900314795383, 0.7058823529411765, 0.7927083333333333]"
TCGA-COAD,TCGA-COAD,mean_pool,cox,0.5510611421435583,0.053137149111920336,"[0.5197594501718213, 0.6305263157894737, 0.5960125918153201, 0.4892156862745098, 0.5197916666666667]"
TCGA-COAD,TCGA-COAD,mean_pool,rsf,0.5921873554561546,0.07510582234318286,"[0.7164948453608248, 0.6168421052631579, 0.5666316894018888, 0.5745098039215686, 0.4864583333333333]"
TCGA-COAD,TCGA-COAD,mean_pool,deepsurv,0.6195709039357814,0.04185008096507639,"[0.6554982817869416, 0.5821052631578948, 0.6327387198321092, 0.5598039215686275, 0.6677083333333333]"
TCGA-COAD,TCGA-COAD,kronecker,cox,0.5736599327547545,0.06881650147397556,"[0.5627147766323024, 0.45789473684210524, 0.5739769150052466, 0.6039215686274509, 0.6697916666666667]"
TCGA-COAD,TCGA-COAD,kronecker,rsf,0.6141789248382219,0.07647445782405952,"[0.6288659793814433, 0.6594736842105263, 0.6243441762854145, 0.46862745098039216, 0.6895833333333333]"
TCGA-COAD,TCGA-COAD,kronecker,deepsurv,0.6927738418647058,0.05884843079481977,"[0.6623711340206185, 0.671578947368421, 0.7586568730325288, 0.6098039215686275, 0.7614583333333333]"
TCGA-KICH,TCGA-KICH,clinical,cox,0.8815152129817445,0.12456990881968946,"[0.875, 0.9655172413793104, 0.6470588235294118, 1.0, 0.92]"
TCGA-KICH,TCGA-KICH,clinical,rsf,0.7440862589067457,0.19425797333433323,"[0.6041666666666666, 0.7241379310344828, 0.47058823529411764, 0.9615384615384616, 0.96]"
TCGA-KICH,TCGA-KICH,clinical,deepsurv,0.7559571175950486,0.1931017340185696,"[0.6458333333333334, 0.6724137931034483, 0.5, 0.9615384615384616, 1.0]"
TCGA-KICH,TCGA-KICH,pathology,cox,0.35585918239975034,0.09529563623515877,"[0.1875, 0.3448275862068966, 0.38235294117647056, 0.38461538461538464, 0.48]"
TCGA-KICH,TCGA-KICH,pathology,rsf,0.48522523014510843,0.18137607896847405,"[0.5625, 0.5689655172413793, 0.38235294117647056, 0.19230769230769232, 0.72]"
TCGA-KICH,TCGA-KICH,pathology,deepsurv,0.4922965621261767,0.2289040041499435,"[0.5833333333333334, 0.5517241379310345, 0.29411764705882354, 0.19230769230769232, 0.84]"
TCGA-KICH,TCGA-KICH,radiology,cox,0.64028665418422,0.1408141554987842,"[0.6458333333333334, 0.3793103448275862, 0.6470588235294118, 0.7692307692307693, 0.76]"
TCGA-KICH,TCGA-KICH,radiology,rsf,0.46748226452384667,0.15002925447482807,"[0.22916666666666666, 0.603448275862069, 0.5294117647058824, 0.6153846153846154, 0.36]"
TCGA-KICH,TCGA-KICH,radiology,deepsurv,0.46838510948145834,0.08359079575837819,"[0.5208333333333334, 0.5689655172413793, 0.47058823529411764, 0.46153846153846156, 0.32]"
TCGA-KICH,TCGA-KICH,molecular,cox,0.7251589171477609,0.17340717842277278,"[0.4375, 0.6551724137931034, 0.8823529411764706, 0.7307692307692307, 0.92]"
TCGA-KICH,TCGA-KICH,molecular,rsf,0.4835,0.024269322199023193,"[0.4375, 0.5, 0.5, 0.5, 0.48]"
TCGA-KICH,TCGA-KICH,molecular,deepsurv,0.6034320486815415,0.09012981516173539,"[0.5, 0.6206896551724138, 0.6764705882352942, 0.5, 0.72]"
TCGA-KICH,TCGA-KICH,wsi,cox,0.5210756748322671,0.16810839087542137,"[0.25, 0.43103448275862066, 0.7058823529411765, 0.5384615384615384, 0.68]"
TCGA-KICH,TCGA-KICH,wsi,rsf,0.3212476465387216,0.25246323568686985,"[0.5208333333333334, 0.22413793103448276, 0.7058823529411765, 0.11538461538461539, 0.04]"
TCGA-KICH,TCGA-KICH,wsi,deepsurv,0.399580823841473,0.16321642459844116,"[0.6875, 0.46551724137931033, 0.29411764705882354, 0.23076923076923078, 0.32]"
TCGA-KICH,TCGA-KICH,concat,cox,0.6709047693347896,0.2005996520226422,"[0.5833333333333334, 0.6551724137931034, 0.35294117647058826, 0.9230769230769231, 0.84]"
TCGA-KICH,TCGA-KICH,concat,rsf,0.7003590783793623,0.16784722307902852,"[0.6666666666666666, 0.6724137931034483, 0.4411764705882353, 0.9615384615384616, 0.76]"
TCGA-KICH,TCGA-KICH,concat,deepsurv,0.7133725750247047,0.11852062474907746,"[0.6041666666666666, 0.7931034482758621, 0.5588235294117647, 0.7307692307692307, 0.88]"
TCGA-KICH,TCGA-KICH,mean_pool,cox,0.35383291725178134,0.09741370657672999,"[0.3958333333333333, 0.3103448275862069, 0.23529411764705882, 0.3076923076923077, 0.52]"
TCGA-KICH,TCGA-KICH,mean_pool,rsf,0.469894783377542,0.09517172381672014,"[0.4583333333333333, 0.603448275862069, 0.5, 0.3076923076923077, 0.48]"
TCGA-KICH,TCGA-KICH,mean_pool,deepsurv,0.5014004004784939,0.15587368309973845,"[0.3958333333333333, 0.41379310344827586, 0.3235294117647059, 0.6538461538461539, 0.72]"
TCGA-KICH,TCGA-KICH,kronecker,cox,0.6280334945649347,0.22486743195404457,"[0.3333333333333333, 0.5172413793103449, 0.5588235294117647, 0.7307692307692307, 1.0]"
TCGA-KICH,TCGA-KICH,kronecker,rsf,0.6419701201435482,0.17802543068084759,"[0.3125, 0.7241379310344828, 0.6470588235294118, 0.8461538461538461, 0.68]"
TCGA-KICH,TCGA-KICH,kronecker,deepsurv,0.7182224215946326,0.22819996276596266,"[0.4375, 0.9137931034482759, 0.47058823529411764, 0.7692307692307693, 1.0]"
TCGA-LIHC,TCGA-LIHC,clinical,cox,0.864166698913474,0.027274838490536784,"[0.8354554358472086, 0.8312020460358056, 0.9024144869215291, 0.8818493150684932, 0.8699122106943336]"
TCGA-LIHC,TCGA-LIHC,clinical,rsf,0.8434839086884885,0.01720306948399786,"[0.8442703232125367, 0.8115942028985508, 0.8601609657947686, 0.8570205479452054, 0.8443735035913806]"
TCGA-LIHC,TCGA-LIHC,clinical,deepsurv,0.8808352229026776,0.021910137700788413,"[0.8452497551420176, 0.8695652173913043, 0.8832997987927566, 0.9058219178082192, 0.9002394253790902]"
TCGA-LIHC,TCGA-LIHC,pathology,cox,0.5855052007450678,0.0481014949383776,"[0.6591576885406464, 0.6197783461210571, 0.5744466800804829, 0.5282534246575342, 0.5458898643256185]"
TCGA-LIHC,TCGA-LIHC,pathology,rsf,0.5833008915670845,0.0528816608191642,"[0.5729676787463271, 0.5242966751918159, 0.607645875251509, 0.6720890410958904, 0.5395051875498803]"
TCGA-LIHC,TCGA-LIHC,pathology,deepsurv,0.5932774723523468,0.04430749243684531,"[0.6640548481880509, 0.5933503836317136, 0.6106639839034205, 0.5316780821917808, 0.5666400638467678]"
TCGA-LIHC,TCGA-LIHC,radiology,cox,0.5728839729143266,0.0427764037860529,"[0.5690499510284035, 0.6308610400682012, 0.5130784708249497, 0.6087328767123288, 0.5426975259377494]"
TCGA-LIHC,TCGA-LIHC,radiology,rsf,0.5285828507532218,0.04199712627119154,"[0.5220372184133203, 0.48081841432225064, 0.5040241448692153, 0.6053082191780822, 0.5307262569832403]"
TCGA-LIHC,TCGA-LIHC,radiology,deepsurv,0.5035965050508239,0.018716932766544493,"[0.5239960822722821, 0.4774083546462063, 0.5211267605633803, 0.509417808219178, 0.4860335195530726]"
TCGA-LIHC,TCGA-LIHC,molecular,cox,0.5429646756786605,0.027781639416014865,"[0.5406464250734574, 0.5507246376811594, 0.4909456740442656, 0.565068493150685, 0.5674381484437351]"
TCGA-LIHC,TCGA-LIHC,molecular,rsf,0.48804509415097846,0.04262897790083375,"[0.49951028403525954, 0.41474850809889174, 0.5367203219315896, 0.4708904109589041, 0.5183559457302475]"
TCGA-LIHC,TCGA-LIHC,molecular,deepsurv,0.549390603816804,0.056047540495502965,"[0.5798237022526934, 0.47144075021312876, 0.5, 0.6258561643835616, 0.5698324022346368]"
TCGA-LIHC,TCGA-LIHC,wsi,cox,0.49447737423308535,0.05165515009486978,"[0.5788442703232125, 0.49957374254049447, 0.42857142857142855, 0.4546232876712329, 0.5107741420590582]"
TCGA-LIHC,TCGA-LIHC,wsi,rsf,0.5224605366067475,0.042075935855796796,"[0.5710088148873653, 0.505541346973572, 0.562374245472837, 0.4546232876712329, 0.518754988028731]"
TCGA-LIHC,TCGA-LIHC,wsi,deepsurv,0.4746747092031434,0.05893892181371694,"[0.5181194906953966, 0.3955669224211424, 0.562374245472837, 0.4392123287671233, 0.4581005586592179]"
TCGA-LIHC,TCGA-LIHC,concat,cox,0.796971493655316,0.039217263364414785,"[0.8364348677766895, 0.8107416879795396, 0.7927565392354124, 0.8210616438356164, 0.7238627294493216]"
TCGA-LIHC,TCGA-LIHC,concat,rsf,0.8083671483795405,0.03435021531243686,"[0.8060724779627816, 0.7860187553282183, 0.761569416498994, 0.8621575342465754, 0.8260175578611333]"
TCGA-LIHC,TCGA-LIHC,concat,deepsurv,0.8123396604122772,0.020775776294084343,"[0.7737512242899118, 0.8277919863597613, 0.817907444668008, 0.8321917808219178, 0.8100558659217877]"
TCGA-LIHC,TCGA-LIHC,mean_pool,cox,0.6078981343315369,0.02468648730591688,"[0.6542605288932419, 0.5899403239556692, 0.6066398390342053, 0.6044520547945206, 0.5841979249800479]"
TCGA-LIHC,TCGA-LIHC,mean_pool,rsf,0.5442660961296426,0.04641769965640887,"[0.5093046033300686, 0.5157715260017051, 0.506036217303823, 0.627568493150685, 0.5626496408619314]"
TCGA-LIHC,TCGA-LIHC,mean_pool,deepsurv,0.6201635444439362,0.05964677495063274,"[0.7149853085210578, 0.6615515771526002, 0.5503018108651911, 0.5881849315068494, 0.5857940941739824]"
TCGA-LIHC,TCGA-LIHC,kronecker,cox,0.7474626801696326,0.04175572450711248,"[0.7267384916748286, 0.7945439045183291, 0.6941649899396378, 0.7988013698630136, 0.7230646448523543]"
TCGA-LIHC,TCGA-LIHC,kronecker,rsf,0.737652005206172,0.01045959496914128,"[0.7414299706170421, 0.7229326513213982, 0.7313883299798792, 0.7542808219178082, 0.7382282521947326]"
TCGA-LIHC,TCGA-LIHC,kronecker,deepsurv,0.7746619685269207,0.0381180153114047,"[0.8207639569049952, 0.814151747655584, 0.7374245472837022, 0.7731164383561644, 0.727853152434158]"
TCGA-PAAD,TCGA-PAAD,clinical,cox,0.757238471276735,0.03268356920245691,"[0.8101851851851852, 0.7741228070175439, 0.7135135135135136, 0.7442455242966752, 0.7441253263707572]"
TCGA-PAAD,TCGA-PAAD,clinical,rsf,0.688761841279632,0.07331616460140178,"[0.8263888888888888, 0.631578947368421, 0.6216216216216216, 0.6879795396419437, 0.6762402088772846]"
TCGA-PAAD,TCGA-PAAD,clinical,deepsurv,0.794529546359132,0.02942648906886392,"[0.8402777777777778, 0.7631578947368421, 0.8081081081081081, 0.7621483375959079, 0.7989556135770235]"
TCGA-PAAD,TCGA-PAAD,pathology,cox,0.5435686192236048,0.06317737051638339,"[0.46296296296296297, 0.6578947368421053, 0.5324324324324324, 0.5345268542199488, 0.5300261096605744]"
TCGA-PAAD,TCGA-PAAD,pathology,rsf,0.5138397422775751,0.017445585493255367,"[0.49537037037037035, 0.5350877192982456, 0.4945945945945946, 0.5115089514066496, 0.5326370757180157]"
TCGA-PAAD,TCGA-PAAD,pathology,deepsurv,0.5539878943304373,0.05278174995401537,"[0.5046296296296297, 0.6513157894736842, 0.5108108108108108, 0.5601023017902813, 0.5430809399477807]"
TCGA-PAAD,TCGA-PAAD,molecular,cox,0.49842456361996784,0.04374297928969731,"[0.4351851851851852, 0.5219298245614035, 0.4945945945945946, 0.5652173913043478, 0.4751958224543081]"
TCGA-PAAD,TCGA-PAAD,molecular,rsf,0.4802641143728863,0.042791909939388514,"[0.42592592592592593, 0.4506578947368421, 0.5216216216216216, 0.5383631713554987, 0.46475195822454307]"
TCGA-PAAD,TCGA-PAAD,molecular,deepsurv,0.4821137207432895,0.05606607817358003,"[0.38657407407407407, 0.5307017543859649, 0.4837837837837838, 0.5447570332480819, 0.46475195822454307]"
TCGA-PAAD,TCGA-PAAD,wsi,cox,0.47937933729877713,0.04901869377287787,"[0.47453703703703703, 0.5219298245614035, 0.5405405405405406, 0.4578005115089514, 0.402088772845953]"
TCGA-PAAD,TCGA-PAAD,wsi,rsf,0.4966908684176241,0.039628265437881956,"[0.4305555555555556, 0.48464912280701755, 0.5351351351351351, 0.5396419437340153, 0.4934725848563969]"
TCGA-PAAD,TCGA-PAAD,wsi,deepsurv,0.44616949480117407,0.06062952441617437,"[0.4050925925925926, 0.5635964912280702, 0.44324324324324327, 0.4194373401534527, 0.39947780678851175]"
TCGA-PAAD,TCGA-PAAD,concat,cox,0.707473174297234,0.05724179039458447,"[0.7129629629629629, 0.8048245614035088, 0.6297297297297297, 0.710997442455243, 0.6788511749347258]"
TCGA-PAAD,TCGA-PAAD,concat,rsf,0.6371245610608833,0.055755707169067324,"[0.7407407407407407, 0.6162280701754386, 0.572972972972973, 0.6342710997442456, 0.6214099216710183]"
TCGA-PAAD,TCGA-PAAD,concat,deepsurv,0.6861272114213149,0.03321198482616067,"[0.7314814814814815, 0.6842105263157895, 0.6297297297297297, 0.6828644501278772, 0.7023498694516971]"
TCGA-PAAD,TCGA-PAAD,mean_pool,cox,0.5747753027440712,0.051217838262729756,"[0.5254629629629629, 0.6710526315789473, 0.5378378378378378, 0.5703324808184144, 0.5691906005221932]"
TCGA-PAAD,TCGA-PAAD,mean_pool,rsf,0.5221822006485699,0.07084723650417789,"[0.4722222222222222, 0.631578947368421, 0.45135135135135135, 0.5805626598465473, 0.4751958224543081]"
TCGA-PAAD,TCGA-PAAD,mean_pool,deepsurv,0.590875279034939,0.06912478806957821,"[0.5810185185185185, 0.6995614035087719, 0.5459459459459459, 0.629156010230179, 0.49869451697127937]"
TCGA-PAAD,TCGA-PAAD,kronecker,cox,0.6137269721307376,0.04007809060127874,"[0.6504629629629629, 0.6118421052631579, 0.5432432432432432, 0.6547314578005116, 0.608355091383812]"
TCGA-PAAD,TCGA-PAAD,kronecker,rsf,0.6015963537806593,0.07379004449514778,"[0.6759259259259259, 0.6140350877192983, 0.4972972972972973, 0.6828644501278772, 0.5378590078328982]"
TCGA-PAAD,TCGA-PAAD,kronecker,deepsurv,0.651265038955971,0.07626129607276974,"[0.7569444444444444, 0.6447368421052632, 0.6135135135135135, 0.7058823529411765, 0.5352480417754569]"
TCGA-SKCM,TCGA-SKCM,clinical,cox,0.825339719614304,0.014043679110161711,"[0.8200431034482759, 0.8419753086419753, 0.810230179028133, 0.8122931442080378, 0.842156862745098]"
TCGA-SKCM,TCGA-SKCM,clinical,rsf,0.7668907280587677,0.04025693765266788,"[0.7435344827586207, 0.8153086419753086, 0.7043478260869566, 0.7683215130023641, 0.8029411764705883]"
TCGA-SKCM,TCGA-SKCM,clinical,deepsurv,0.8316472684339933,0.016743781438582607,"[0.8292025862068966, 0.8488888888888889, 0.8230179028132992, 0.806146572104019, 0.8509803921568627]"
TCGA-SKCM,TCGA-SKCM,pathology,cox,0.4679682873907458,0.03692921632657821,"[0.47252155172413796, 0.45580246913580247, 0.5171355498721227, 0.4061465721040189, 0.48823529411764705]"
TCGA-SKCM,TCGA-SKCM,pathology,rsf,0.48563967298149935,0.03121039102995546,"[0.5177801724137931, 0.44098765432098763, 0.5176470588235295, 0.4581560283687943, 0.4936274509803922]"
TCGA-SKCM,TCGA-SKCM,pathology,deepsurv,0.5051396492339284,0.03631019956722728,"[0.5668103448275862, 0.46370370370370373, 0.47365728900255755, 0.5078014184397163, 0.5137254901960784]"
TCGA-SKCM,TCGA-SKCM,molecular,cox,0.49338131146931746,0.04548562122200143,"[0.4749461206896552, 0.5777777777777777, 0.4823529411764706, 0.44089834515366433, 0.4909313725490196]"
TCGA-SKCM,TCGA-SKCM,molecular,rsf,0.4562960625429996,0.021627727672018423,"[0.4286099137931034, 0.46123456790123457, 0.4358056265984655, 0.46808510638297873, 0.4877450980392157]"
TCGA-SKCM,TCGA-SKCM,molecular,deepsurv,0.47234522983693106,0.035693861258684734,"[0.4253771551724138, 0.4725925925925926, 0.5191815856777494, 0.44089834515366433, 0.5036764705882353]"
TCGA-SKCM,TCGA-SKCM,wsi,cox,0.550405102633405,0.047930995997405586,"[0.45905172413793105, 0.5456790123456791, 0.5877237851662405, 0.5796690307328605, 0.5799019607843138]"
TCGA-SKCM,TCGA-SKCM,wsi,rsf,0.5134546173119346,0.03889761647229677,"[0.47413793103448276, 0.5358024691358024, 0.5457800511508951, 0.4591016548463357, 0.5524509803921569]"
TCGA-SKCM,TCGA-SKCM,wsi,deepsurv,0.5315863500798389,0.04393880864782366,"[0.45635775862068967, 0.5797530864197531, 0.570843989769821, 0.5200945626477541, 0.5308823529411765]"
TCGA-SKCM,TCGA-SKCM,concat,cox,0.744830634759684,0.02040761668343255,"[0.7613146551724138, 0.7120987654320987, 0.7560102301790281, 0.7300236406619386, 0.7647058823529411]"
TCGA-SKCM,TCGA-SKCM,concat,rsf,0.7423316323169246,0.02405356662182595,"[0.7165948275862069, 0.7422222222222222, 0.7145780051150895, 0.7725768321513002, 0.765686274509804]"
TCGA-SKCM,TCGA-SKCM,concat,deepsurv,0.7888215588180044,0.01413402956156388,"[0.7769396551724138, 0.7688888888888888, 0.7923273657289003, 0.7981087470449173, 0.807843137254902]"
TCGA-SKCM,TCGA-SKCM,mean_pool,cox,0.5957122493457068,0.026205341775679094,"[0.5889008620689655, 0.5555555555555556, 0.5918158567774936, 0.6364066193853428, 0.6058823529411764]"
TCGA-SKCM,TCGA-SKCM,mean_pool,rsf,0.5762187793543547,0.061875411775565735,"[0.5032327586206896, 0.4997530864197531, 0.6352941176470588, 0.6354609929078014, 0.6073529411764705]"
TCGA-SKCM,TCGA-SKCM,mean_pool,deepsurv,0.6464818602669647,0.03169077563209335,"[0.6217672413793104, 0.6197530864197531, 0.6757033248081842, 0.6936170212765957, 0.6215686274509804]"
TCGA-SKCM,TCGA-SKCM,kronecker,cox,0.6270329381819774,0.04695179637093578,"[0.5533405172413793, 0.662716049382716, 0.5892583120204603, 0.6680851063829787, 0.6617647058823529]"
TCGA-SKCM,TCGA-SKCM,kronecker,rsf,0.6152561923448882,0.04658271968616701,"[0.5549568965517241, 0.6898765432098766, 0.6296675191815857, 0.5782505910165484, 0.6235294117647059]"
TCGA-SKCM,TCGA-SKCM,kronecker,deepsurv,0.659121617738968,0.04956067118458035,"[0.5889008620689655, 0.7362962962962963, 0.6823529411764706, 0.6581560283687943, 0.6299019607843137]"
TCGA-UCEC,TCGA-UCEC,clinical,cox,0.935709459264289,0.01103464545295824,"[0.916796267496112, 0.9445277361319341, 0.9332161687170475, 0.935374149659864, 0.9486329743164872]"
TCGA-UCEC,TCGA-UCEC,clinical,rsf,0.8272005795288615,0.04757900826106186,"[0.7651632970451011, 0.8853073463268366, 0.7794376098418277, 0.8684807256235828, 0.8376139188069595]"
TCGA-UCEC,TCGA-UCEC,clinical,deepsurv,0.9422114169744246,0.02526374735105535,"[0.9595645412130638, 0.9580209895052474, 0.9525483304042179, 0.8922902494331065, 0.9486329743164872]"
TCGA-UCEC,TCGA-UCEC,pathology,cox,0.5601675021890781,0.08202826616838965,"[0.5163297045101088, 0.7008995502248876, 0.4929701230228471, 0.6043083900226758, 0.4863297431648716]"
TCGA-UCEC,TCGA-UCEC,pathology,rsf,0.5367924002064255,0.04119734051938485,"[0.5295489891135303, 0.532983508245877, 0.5123022847100176, 0.6145124716553289, 0.49461474730737365]"
TCGA-UCEC,TCGA-UCEC,pathology,deepsurv,0.491623879930189,0.0724132991414695,"[0.5023328149300156, 0.6086956521739131, 0.4007029876977153, 0.5147392290249433, 0.43164871582435793]"
